Variable;Description;Variable Types;Units;Source
Mass.Refs.Other;"Source of Updated mass data, including primary and secondary literature, online resources and museum specimen data. Primary and secondary literature citations or abbreviations are given in full in the sheet named ""Mass_Sources""";NA;;
Inference;"NO = all biometric trait data were obtained from direct measurement of specimens, or in the case of body mass from published sources
YES = at least some of the biometric traits were unavailable from specimens so these trait data were inferred from a closely related species; in some cases all morphological measurements were taken directly except for body mass, which can't be measured on museum specimens.";binary;;
Traits.inferred;List of traits inferred from the reference species;categorical;;
Reference.species;Species from which the biometric data were inferred;categorical;;
Habitat;"Desert (= drylands and other open arid habitats, often sandy with very sparse vegetation); 
Rock (= rocky substrate typically with no or very little vegetation, including rocky outcrops, rocky coastlines, arid stony steppes, rocky mountaintops and mountain slopes); 
Grassland (=  open dry to moist grass-dominated landscapes, at all elevations); 
Shrubland (= low stature bushy habitats, included thornscrub, thorny or arid savanna, caatinga, xerophytic shrubland and coastal scrub); 
Woodland (= medium stature tree-dominated habitats, including Acacia woodland, riparian woodlands, mangrove forests, forest edges, also more open parkland with scattered taller trees);
Forest (= tall tree-dominated vegetation with more or less closed canopy, including palm forest); 
Human modified (urban landscapes, intensive agriculture, gardens); 
Wetland (= wide range of freshwater aquatic habitats including lakes, marshes, swamps and reedbeds); 
Riverine (= associated with rivers and streams at all elevations); 
Coastal (= intertidal zones within immediate vicinity of beaches, estuaries, brackish to salty marshes, including mudflats, lagoons, alkaline wetlands, coastal dunes and harbours);
Marine (= pelagic, on sea near coasts, including species in the intertidal zone on beaches, and those pelagic species nesting near the sea on cliffs, islets and islands).";categorical;;Data extracted from primary and secondary literature, particularly Handbook of the Birds of the World (including Birds of the World)
Habitat.Density;"1 = Dense habitats. Species primarily lives in the lower or middle storey of forest, or in dense thickets, dense shrubland etc.
2 = Semi-open habitats. Species primarily lives in open shrubland, scattered bushes, parkland, low dry or deciduous forest, thorn forest. 
3 = Open habitats. Species primarily lives in desert, grassland, open water, low shrubs, rocky habitats, seashores, cities. Also applies to species living mainly on top of forest canopy (i.e. mostly in the open)";discrete;;Tobias et al. (2016) Frontiers Ecol. Evol.
Migration;"1 = Sedentary. 
2 = Partially migratory, i.e. minority of population migrates long distances, or most of population undergoes short-distance migration, nomadic movements, distinct altitudinal migration, etc.
3 = Migratory, i.e. majority of population undertakes long-distance migration";discrete;;Tobias & Pigot (2019) Phil. Trans. Roy. Soc.
Trophic.Level;"Herbivore = species obtaining at least 70% of food resources from plants; Carnivore = species obtaining at least 70% of food resources by consuming live invertebrate or vertebrate animals; Scavenger = species obtaining at least 70% of food resources from carrion or refuse; Omnivore = species obtaining resources from multiple trophic level in roughly equal proportion";categorical;;Pigot et al. (2020) Nature Ecology & Evolution
Trophic.Niche;"Frugivore = species obtaining at least 60% of food resources from fruit; 
Granivore = species obtaining at least 60% of food resources from seeds or nuts; 
Nectarivore =  species obtaining at least 60% of food resources from nectar; 
Herbivore = species obtaining at least 60% of food resources from other plant materials in non-aquatic systems, including leaves, buds, whole flowers etc.; 
Herbivore aquatic = species obtaining at least 60% of food resources from plant materials in aquatic systems, including algae and aquatic plant leaves; 
Invertivore = species obtaining at least 60% of food resources from invertebrates in terrestrial systems, including insects, worms, arachnids, etc.; 
Vertivore = species obtaining at least 60% of food resources from vertebrate animals in terrestrial systems, including mammals, birds, reptiles etc.; 
Aquatic Predator = species obtaining at least 60% of food resources from vertebrate and invertebrate animals in aquatic systems, including fish, crustacea, molluscs, etc; 
Scavenger = species obtaining at least 60% of food resources from carrion, offal or refuse; Omnivore = Species using multiple niches, within or across trophic levels, in relatively equal proportions ";categorical;;Pigot et al. (2020) Nature Ecology & Evolution
Primary.Lifestyle;"Aerial = species spends much of the time in flight, and hunts or forages predominantly on the wing; 
Terrestrial = species spends majority of its time on the ground, where it obtains food while either walking or hopping (note this includes species that also wade in water with their body raised above the water); 
Insessorial = species spends much of the time perching above the ground, either in branches of trees and other vegetation (i.e. arboreal), or on other raised substrates including rocks, buildings, posts, and wires; 
Aquatic = species spends much of the time sitting on water, and obtains  food while afloat or when diving under the water's surface; Generalist = species has no primary lifestyle because it spends time in different lifestyle classes";categorical;;
Min.Latitude;The minimum latitudinal extent of the species range (restricted to breeding and resident range);continuous;decimal degrees;"All BirdLife taxonomy data: BirdLife International and Handbook of the Birds of the World (2019) Bird species distribution maps of the world. Version 2019.1 (accessed 27/03/2020). 

BirdTree species that were subsequently merged: BirdLife International and NatureServe (2012) Bird species distribution maps of the world. Version 2.0 (accessed 08/07/2011). 
(Updated maps can be requested at: http://datazone.birdlife.org/species/requestdis)"
Max.Latitude;The maximum latitudinal extent of the species range (restricted to breeding and resident range);continuous;decimal degrees;"All birdlife taxonomy data: BirdLife International and Handbook of the Birds of the World (2019) Bird species distribution maps of the world. Version 2019.1 (accessed 27/03/2020). 

Jetz species that were subsequently merged: BirdLife International and NatureServe (2012) Bird species distribution maps of the world. Version 2.0 (accessed 08/07/2011). 
(Updated maps can be requested at: http://datazone.birdlife.org/species/requestdis)"
Centroid.Latitude;The geometric centre of the species range (restricted to breeding and resident range), calculated using the calcCentroid function from the R package PBSmapping (Schnute et al., 2017). This function projects ranges into the Universal Transverse Mercator (UTM) projection, to accurately calculate centroids at high latitudes. To generate the breeding and resident range, we used the following settings: Presence: 1 (Extant). Origin 1 & 2 (Native & Reintroduced). Seasonality 1 & 2 (resident and breeding season);continuous;decimal degrees;"All birdlife taxonomy data: BirdLife International and Handbook of the Birds of the World (2019) Bird species distribution maps of the world. Version 2019.1 (accessed 27/03/2020). 

BirdTree species that were subsequently merged: BirdLife International and NatureServe (2012) Bird species distribution maps of the world. Version 2.0 (accessed 08/07/2011). 
(Updated maps can be requested at: http://datazone.birdlife.org/species/requestdis)"
Centroid.Longitude;The geometric centre of the species range (restricted to breeding and resident range), calculated using the calcCentroid function from the R package PBSmapping (Schnute et al., 2017). This function projects ranges into the Universal Transverse Mercator (UTM) projection, to accurately calculate centroids at high latitudes. To generate the breeding and resident range, we used the following settings: Presence: 1 (Extant). Origin 1 & 2 (Native & Reintroduced). Seasonality 1 & 2 (resident and breeding season);continuous;decimal degrees;"All birdlife taxonomy data: BirdLife International and Handbook of the Birds of the World (2019) Bird species distribution maps of the world. Version 2019.1 (accessed 27/03/2020). 

BirdTree species that were subsequently merged: BirdLife International and NatureServe (2012) Bird species distribution maps of the world. Version 2.0 (accessed 08/07/2011). 
(Updated maps can be requested at: http://datazone.birdlife.org/species/requestdis)"
Range.Size;"The total area of the mapped range of the species (not the Extent of Occurrence [EOO]). We used maps shared by BirdLife International and restricted our analysis to areas of the range coded as Presence = 1 (Extant only), Origin = 1 & 2 (Native & Reintroduced),
Seasonal = 1 & 2 (Resident and breeding). We calculated the total combined mapped area of these parts of the range using the areaPolygon function from the R package geosphere (Hijmans et al., 2011). This function accurately calculates the area in the World Geodetic System (WGS84) projection using spherical distances";continuous;km2;"All birdlife taxonomy data: BirdLife International and Handbook of the Birds of the World (2019) Bird species distribution maps of the world. Version 2019.1 (accessed 27/03/2020). 

BirdTree species that were subsequently merged: BirdLife International and NatureServe (2012) Bird species distribution maps of the world. Version 2.0 (accessed 08/07/2011). 
(Updated maps can be requested at: http://datazone.birdlife.org/species/requestdis)"
Species.Status;"Extant = the species is extant according to BirdLife international
Extinct = the species is extinct according to BirdLife international 
Invalid = the species is currently not recognised by BirdLife international on the basis of published information suggesting it does not exist (e.g. it may be a hybrid taxon, a genetic variant, or fails to meet criteria for species status)";categorical;;Extracted from BirdLife international (www.birdlife.org) 
Avibase.ID;Unique identifier for species (or species group) linking to the Avibase dataset which provide detailed information on taxonomy, synonymy and distribution for the world's birds. See https://avibase.bsc-eoc.org/;ID;;https://avibase.bsc-eoc.org/
Avibase.ID1;Unique Avibase identifier for the species concept according to BirdLife international;ID;;https://avibase.bsc-eoc.org/
Avibase.ID2;Unique Avibase identifier for the species concept according to eBird;ID;;https://avibase.bsc-eoc.org/
eBird.species.group;Names of taxonomic units linking trait data in the AVONET raw data to eBird. Unlike the species-level data in AVONET 2, this list contains standard eBird names for individuals that cannot be assigned to species (e.g. Acanthis hornemanni/flammea/cabaret for redpolls that could not be assigned to a particular species);categorical;;
Data.type;"1 = museum specimen
2 =  live individual";binary;;
Source;"Abbreviation of the source collection (museum or research collection). See the Data Sources tab for the full list of institutional names. 
Field1 = unpublished field data.
Field2 = published field data.";categorical;;
Specimen.number;Specimen accession and/or collection number (including corrections to erroneous numbers);ID;;
Sex;"Sex of the individual sampled: M = Male; F = Female; U = Unknown";categorical;;
Age;"0 = all biometric trait data were obtained from direct measurement of an adult specimen.  
1 = all biometric trait data were obtained from direct measurement of an immature specimen. Note that juvenile specimens or any specimen notably less than adult size were removed from the dataset.";binary;;
Locality;Locality at which the individual was collected or trapped-released.  Infomation presented here is based on data submitted by the measurers, with some corrections where old locality assignments have been updated. For museum specimens this is taken from the label, hence some mis-transcriptions still need correcting. Data are embargoed for 1 year to allow completion of this process. ;NA;;
Country_WRI;Country in which the individual was collected or trapped/released following boundaries deignated by the World Resources Institute, for the purposes of mapping.;categorical;;World Resources Institute (https://github.com/wri/wri-bounds accessed on 14/10/2020). 
Country;Country (or other designation such as archipelago, state, dependency etc.) in which the individual was collected or trapped/released. Infomation presented here is based on data submitted by the measurers, with corrections where old country assignments have been updated. For museum specimens this information is typically transcribed from hand-written labels, hence some mis-transcriptions still need correcting. Data are embargoed for 1 year to allow completion of this process.;categorical;;
Measurer;Unique identifier (initials or other abbreviation) used to identify each individual measurer. See the Measurers tab for the full list of names.;categorical;;
Protocol;"0 = biometric measurements not taken using AVONET protocol.
1 = biometric measurements taken using AVONET protocol.";binary;;
Publication;In AVONET_Raw_Data: Citation for specimen measurements taken from published sources.;NA;;
Citation;In Mass_Sources tab: Citation or abbreviation used in the Mass.Refs.Other column in AVONET_1?3;;;
Full Reference;In Mass_Sources tab: Full details of the source cited in the Mass.Refs.Other column in AVONET_1?3;;;
Institution.name;In Data_Sources tab: Full name of museum or collection from which traits were measured;NA;;
Specimens.sampled;In Data_Sources tab: Number of specimens measured in each museum or collection;discrete;;
Institution.city;In Data_Sources tab: City where museum or collection is located;categorical;;
Institution.country;In Data_Sources tab: Country where museum or collection is located;categorical;;
Latitude;In Data_Sources tab: Latitude of museum or collection;coordinate;;
Longitude;In Data_Sources tab: Longitude of museum or collection;coordinate;;
Address;In Data_Sources tab: Full address of museum or collection;NA;;
Measurer.Name;In Measurers tab: Full name of each individual measurer;categorical;;
Individuals.Measured;In Measurers tab: Number of museum specimens and/or individual live birds measured by each measurer;discrete;;
Match.type;"In crosswalk tabs: Type of taxonomic match between source and target taxonomy. 1-to-1 indicates a direct match with like-for-like names; 1-to-1 marked with an asterisk (*; e.g. 1BL to 1eBird*) indicates that the match is imperfect, typically because one or more subspecies are assigned differently in the two treatments; 1-to-many indicates that a single taxon in the first taxonomy represents multiple taxa in the second taxonomy; many-to-1 indicates the reverse; many-to-many indicates a complex match with multiple taxa in both treatments; newly described species are cases which are not currently recognised by a taxonomy.";categorical;;
Match.notes;In crosswalk tabs: Notes on taxonomic matching in the BirdLife-eBird crosswalk. A conservative approach was taken to assigning eBird subspecies or species groups to BirdLife species. In many cases, some specimens of a particular BirdLife taxon can be assigned to an eBird species while other specimens of the same BirdLife taxon can't be assigned because of uncertain provenance (e.g. locality data are ambiguous or lacking). This means that different specimens of individual BirdLife taxa may map onto multiple eBird categories, often including both species and species groups. Notes also highlight cases involving imperfect matches between taxa with the same name but a different allocation of subspecies.;NA;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
